date;cmpgn;kw;kw status;impressions;clicks;cost;conversions;all_conversions;search_impression_share;search_rank_lost_impression_share;top_impression_percentage;absolute_top_impression_percentage;total_conversion_value;all_conversion_value
2021-01-20;Non Branded Funnel;social media marketing;enabled;24;3;4,18;0;0;0,46;0,54;0,27;0,18;0;0
2021-01-20;Non Branded HubSpot;marketing concepts;enabled;86;7;10,39;2;2;0,1;0,9;0,73;0,21;0;0
2021-01-20;Non Branded Funnel;internet marketing jobs;enabled;13;0;0;0;0;0,1;0,9;0,22;0,11;0;0
2021-01-20;Non Branded Funnel;marketing intermediaries;enabled;7;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-20;Non Branded Funnel;content marketing agency;enabled;9;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-20;Non Branded Funnel;international marketing manager;enabled;1;0;0;0;0;0,25;0,75;0;0;0;0
2021-01-20;Non Branded Funnel;global marketing strategy;enabled;1;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-20;Non Branded Funnel;website marketing;enabled;1;0;0;0;0;0,25;0,75;0;0;0;0
2021-01-21;Non Branded Funnel;principles of marketing;enabled;22;0;0;0;0;0,22;0,02;0,74;0,16;0;0
2021-01-21;Non Branded Funnel;pay per click marketing;enabled;34;1;0,94;0;0;0,1;0,13;0,41;0,06;0;0
2021-01-21;Non Branded Funnel;social media marketing;enabled;18;0;0;0;0;0,17;0,06;0,27;0;0;0
2021-01-21;Non Branded HubSpot;small business marketing;enabled;11;2;2,31;1;1;0,1;0,9;0,89;0,44;0;0
2021-01-21;Non Branded HubSpot;network marketing pro;enabled;26;0;0;0;0;0,1;0,9;0,85;0,19;0;0
2021-01-21;Non Branded HubSpot;marketing concepts;enabled;121;9;15,38;0;0;0,1;0,9;0,81;0,24;0;0
2021-01-21;Non Branded HubSpot;marketing synonym;enabled;18;0;0;0;0;0,1;0,9;0,87;0,13;0;0
2021-01-21;Non Branded Funnel;outbound marketing;enabled;13;1;5,03;0;0;0,1;0,16;0,78;0;0;0
2021-01-21;Non Branded Funnel;undifferentiated marketing;enabled;1;0;0;0;0;0,17;0;0;0;0;0
2021-01-21;Non Branded Funnel;undifferentiated marketing;enabled;1;0;0;0;0;0,5;0;0;0;0;0
2021-01-21;Non Branded Funnel;marketing intermediaries;enabled;4;0;0;0;0;0,1;0,13;0;0;0;0
2021-01-21;Non Branded Funnel;content marketing agency;enabled;1;0;0;0;0;0,1;0,17;0;0;0;0
2021-01-21;Non Branded HubSpot;allied integrated marketing;enabled;1;0;0;0;0;1;0;0;0;0;0
2021-01-21;Non Branded Funnel;top marketing firms;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-21;Non Branded Funnel;marketing consultant;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-21;Non Branded Funnel;international marketing manager;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-21;Non Branded Funnel;global marketing strategy;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-21;Non Branded Funnel;marketing budget;enabled;10;1;1,29;0;0;0;0;0;0;0;0
2021-01-22;Non Branded HubSpot;marketing mix;enabled;71;12;9,6;1;1;0,1;0,9;0,82;0,18;0;0
